AA_MAXRMS,AA_NumberofsamplesaboveRMSTH,AA_LogicalIgnition,InstallStationId,AfterCrashStoppingStatus3,VehicleManu,VehicleModel,MokedStatusDesc,IMPACTX,IMPACTY,IMPACTZ,ORX,ORY,ORZ,Speed,XaxisEnabled,YaxisEnabled,ZaxisEnabled,IMPACTXYZAvg,MaxIMPACTAxis,vtype
7.235,4,1,0,1,Hyundai,IoniQ,false_alarm,3.716,-1.116,-6.208,0.348,-0.868,0.336,0,1,0,1,13,Z,Private                                 
6.272,1,1,0,1,Nissan,X-trail,no_answer,6.272,0.004,-0.012,-0.036,-0.356,-0.992,0,1,1,0,8,X,CrossOver                               
2.10375,1,1,0,1,Nissan,Qashqai,false_alarm,-0.224,2.092,-2.476,0.024,-0.444,-0.9120001,1,1,1,0,6,Z,CrossOver                               
2.246,2,1,0,1,Dacia,Duster,false_alarm,-0.8280001,2.088,-0.6760001,-0.108,0.288,-0.896,2,1,1,0,5,Y,CrossOver                               
4.50025,1,0,0,1,Nissan,Qashqai,no_answer,4.5,0.048,-0.016,-0.012,0.184,0.98,1,1,1,0,6,X,CrossOver                               
2.50575,2,1,0,1,Nissan,X-trail,false_alarm,-0.604,-2.432,-0.872,0.136,0.09200001,-1.024,4,1,1,0,5,Y,CrossOver                               
-5.71075,3,1,0,1,Hyundai,Tucson,false_alarm,6.960001,-8.092,-6.22,0.432,-0.068,-0.9,0,1,1,0,15,Y,CrossOver                               
2.28575,2,1,0,1,Nissan,Qashqai,false_alarm,0.212,-2.276,2.424,-0.036,-0.412,-0.924,1,1,1,0,6,Z,CrossOver                               
6.772,1,0,0,1,MG,ZS EV,bumper,6.772,-0.016,-0.072,-0.004,0.56,-0.684,0,1,1,0,8,X,CrossOver                               
3.652,3,1,0,1,Citroen,C5 Aircross,false_alarm,-0.344,-3.636,-0.068,-0.024,-0.028,-0.9720001,1,1,1,0,6,Y,CrossOver                               
2.74675,3,1,0,1,Citroen,C5 Aircross,false_alarm,0.128,2.744,-0.348,-0.032,0.12,0.956,0,1,1,0,5,Y,CrossOver                               
2.73075,1,1,0,1,Nissan,Qashqai,false_alarm,-0.872,-2.588,-1.644,-0.116,-0.444,-0.9080001,1,1,1,0,7,Y,CrossOver                               
2.82325,3,1,0,1,Hyundai,IoniQ,false_alarm,-0.5560001,-1.236,2.768,0.364,-0.844,0.368,0,1,0,1,6,Z,Private                                 
3.85525,3,1,0,1,Citroen,C5 Aircross,false_alarm,-3.388,1.84,-1.084,-0.004,-0.016,-1.012,2,1,1,0,8,X,CrossOver                               
-5.41025,15,1,0,1,Citroen,C3,flat_tire,7.456,-8.052,7.812,0.016,0.068,-1.012,5,1,1,0,15,Y,Private                                 
3.4435,3,1,0,1,Hyundai,I20,false_alarm,-1.548,-3.076,0.208,-0.26,-0.028,-0.96,4,1,1,0,6,Y,Private                                 
4.40025,1,0,0,1,Renault,Grand Coupe,false_alarm,-0.048,4.4,-0.02,-0.136,-0.04,-1,0,1,1,0,6,Y,Private                                 
3.158,7,1,0,1,Hyundai,IoniQ,pit,1.26,2.896,-1.688,0.324,0.032,-0.936,3,1,1,0,7,Y,Private                                 
2.19125,1,1,0,1,Nissan,X-trail,false_alarm,0.32,2.168,0.232,-0.032,0.14,-1.028,1,1,1,0,4,Y,CrossOver                               
4.576,1,0,0,1,Nissan,X-trail,no_answer,-0.016,4.576,0.008,-0.132,-0.024,-1.004,0,1,1,0,6,Y,CrossOver                               
4.576,1,0,0,1,Nissan,X-trail,no_answer,-0.016,4.576,0.008,-0.132,-0.024,-1.004,0,1,1,0,6,Y,CrossOver                               
3.683,3,1,0,1,Hyundai,I10,false_alarm,0.9440001,-3.56,3.192,0,-0.04,-1.032,4,1,1,0,9,Y,Private                                 
2.159,1,1,0,1,Nissan,Qashqai,false_alarm,-1.984,-0.8520001,0.66,0.068,-0.44,-0.896,1,1,1,0,5,X,CrossOver                               
-7.81725,9,1,0,1,Hyundai,IoniQ,pit,-4.984,3.232,-6.968,0.376,-0.848,0.312,5,1,0,1,15,Z,Private                                 
2.0915,1,1,0,1,Nissan,X-trail,false_alarm,-0.496,2.032,-0.048,-0.28,0.364,-0.8800001,4,1,1,0,4,Y,CrossOver                               
2.05225,1,1,0,1,Renault,Captur,false_alarm,-0.044,-2.052,-0.572,0.08800001,-0.708,-0.74,4,1,1,0,4,Y,Private                                 
2.4205,1,1,0,1,MG,ZS EV,false_alarm,-0.012,1.108,-2.152,-0.028,0.544,-0.8800001,1,1,1,1,5,Z,CrossOver                               
3.51025,7,1,0,1,Hyundai,IoniQ,false_alarm,-0.7,0.632,-3.44,-0.372,0.8560001,-0.288,3,1,0,1,6,Z,Private                                 
3.14325,3,1,0,1,Hyundai,IoniQ,false_alarm,1.024,0.252,-2.972,0.192,0.9,-0.244,1,1,0,1,6,Z,Private                                 
3.058,4,1,0,1,Hyundai,IoniQ,false_alarm,-0.368,0.192,-3.036,0.448,-0.864,0.332,3,1,0,1,5,Z,Private                                 
2.77225,1,1,0,1,Nissan,Qashqai,false_alarm,2.772,-0.052,0.024,0.036,-0.304,-0.984,1,1,1,0,4,X,CrossOver                               
2.20725,1,1,0,1,Nissan,Micra,false_alarm,0.716,2.088,0.1,0.272,0.07600001,-0.9440001,4,1,1,0,4,Y,Private                                 
2.20725,1,1,0,1,Nissan,Micra,false_alarm,0.716,2.088,0.1,0.272,0.07600001,-0.9440001,4,1,1,0,4,Y,Private                                 
3.08825,3,1,0,1,Toyota,Corolla,false_alarm,-1.404,2.728,-1.448,-0.8520001,0.408,0.136,3,0,1,1,7,Y,Private                                 
3.08825,3,1,0,1,Toyota,Corolla,false_alarm,-1.404,2.728,-1.448,-0.8520001,0.408,0.136,3,0,1,1,7,Y,Private                                 
3.08825,3,1,0,1,Toyota,Corolla,false_alarm,-1.404,2.728,-1.448,-0.8520001,0.408,0.136,3,0,1,1,7,Y,Private                                 
3.08825,3,1,0,1,Toyota,Corolla,false_alarm,-1.404,2.728,-1.448,-0.8520001,0.408,0.136,3,0,1,1,7,Y,Private                                 
